1292271,毕业生 The Graduate,1967,7.9,130733,剧情/喜剧/爱情,美国
1292272,大象 Elephant,2003,7.8,57182,剧情/犯罪,美国
1292274,幸福终点站 The Terminal,2004,8.7,281925,剧情/喜剧/爱情,美国
1292275,罗拉快跑 Lola rennt,1998,8.1,172812,动作/惊悚/犯罪,德国
1292276,双面情人 Sliding Doors,1998,7.5,10280,剧情/喜剧/爱情,英国/美国
1292277,偷香 Stealing Beauty,1996,7.7,17394,剧情/爱情/悬疑/情色,意大利/法国/英国
1292278,巴贝特之宴 Babettes g?stebud,1987,8.3,4894,剧情/爱情/音乐,丹麦
1292279,成为约翰·马尔科维奇 Being John Malkovich,1999,8.2,42173,剧情/喜剧/爱情/奇幻,美国
1292280,第25小时 25th Hour,2002,7.9,16972,剧情/犯罪,美国
1292286,我的野蛮女友 ???? ??,2001,8.1,318410,剧情/喜剧/爱情,韩国
1292287,新龙门客栈 新龍門客棧,1992,8.5,232661,剧情/动作/武侠/古装,香港/中国大陆
1292288,公民凯恩 Citizen Kane,1941,8.6,58441,剧情/悬疑,美国
1292289,心动 心動,1999,8.2,65282,爱情,香港/日本
1292321,午夜旋律 'Round Midnight,1986,8.3,330,剧情/音乐,法国/美国
1292326,暴力街区 Banlieue 13,2004,8,86460,动作/犯罪,法国
1292328,东邪西毒 東邪西毒,1994,8.6,326052,剧情/动作/爱情/武侠/古装,香港/台湾
1292329,牯岭街少年杀人事件 牯嶺街少年殺人事件,1991,8.8,134390,剧情/犯罪,台湾
1292330,恋恋风尘 戀戀風塵,1986,8.5,44336,剧情/爱情,台湾
1292332,移魂都市 Dark City,1998,7.8,42866,科幻/悬疑/惊悚,澳大利亚/美国
1292333,王牌大贱谍3 Austin Powers in Goldmember,2002,6.2,4312,喜剧/动作/犯罪/冒险,美国
1292335,危险关系 Jackie Brown,1997,7.4,10938,剧情/惊悚/犯罪,美国
1292337,无人知晓 誰も知らない,2004,9.1,106923,剧情,日本
1292338,祖与占 Jules et Jim,1962,8.4,26607,剧情/爱情,法国
1292339,十七岁的天空 17歲的天空,2004,6.7,16632,喜剧/爱情/同性,台湾
1292340,宛如阿修罗 阿修羅のごとく,2003,8.2,5729,剧情/喜剧/家庭,日本
1292341,性、谎言和录像带 Sex  Lies  and Videotape,1989,7.6,28493,剧情,美国
1292343,蝴蝶效应 The Butterfly Effect,2004,8.7,496511,剧情/科幻/悬疑/惊悚,美国/加拿大
1292344,十二罗汉 Ocean's Twelve,2004,7.2,78337,惊悚/犯罪,美国
1292345,沙漠妖姬 The Adventures of Priscilla  Queen of the Desert,1994,8.3,5565,剧情/喜剧/同性/音乐,澳大利亚/英国
1292347,黑客帝国动画版 The Animatrix,2003,8.8,34126,剧情/动作/科幻/动画,美国
1292348,洛城机密 L.A. Confidential,1997,8.7,87219,剧情/悬疑/惊悚/犯罪,美国
1292349,阿拉伯的劳伦斯 Lawrence of Arabia,1962,8.7,27651,剧情/传记/冒险,英国/美国
1292352,几近成名 Almost Famous,2000,8.1,21412,剧情/音乐,美国
1292365,活着,1994,9.2,392358,剧情/家庭/历史,中国大陆/香港
1292370,剪刀手爱德华 Edward Scissorhands,1990,8.7,617870,剧情/爱情/奇幻,美国
1292371,四月物语 四月物語,1998,8.1,123873,爱情,日本
1292396,香港制造,1997,8.1,28853,剧情/喜剧/爱情/犯罪,香港
1292397,盗信情缘 ポストマン?ブルース,1997,8.5,3937,剧情/喜剧/动作/犯罪,日本
1292401,真爱至上 Love Actually,2003,8.6,399002,剧情/喜剧/爱情,英国/美国/法国
1292402,西西里的美丽传说 Malèna,2000,8.8,485013,剧情/情色/战争,意大利/美国
1292403,猎鹿人 The Deer Hunter,1978,8.4,21610,剧情/战争,美国/英国
1292434,一一,2000,9,193503,剧情/爱情/家庭,台湾/日本
1292440,一条叫旺达的鱼 A Fish Called Wanda,1988,7.7,21285,喜剧/犯罪,美国/英国
1292444,大逃杀 バトル?ロワイアル,2000,8,145205,剧情/科幻/惊悚,日本
1292445,天涯沦落女 Sans toit ni loi,1985,8.2,2914,剧情,法国
1292449,惊世狂花 Bound,1996,8.2,19278,剧情/惊悚/同性/犯罪,美国
1292450,暗花,1998,8.4,57582,悬疑/犯罪,香港
1292451,隔窗未了缘 La finestra di fronte,2003,7.5,2709,剧情/爱情,意大利/土耳其/葡萄牙/英国
1292452,豪情四海 Bugsy,1991,7.8,1366,剧情/传记/犯罪,美国
1292453,疯狂的麦克斯2 Mad Max 2,1981,7.2,9031,动作/科幻/惊悚/冒险,澳大利亚
1292454,龙卷风 Twister,1996,7.2,22158,动作/冒险/灾难,美国
1292455,吉格斯医生 Dr. Giggles,1992,6.7,115,剧情/喜剧/悬疑/惊悚/恐怖,美国/日本
1292456,成功的秘密 The Secret of My Succe$s,1987,6.8,646,喜剧,美国
1292457,小嗓门 Little Voice,1998,7.3,1146,剧情/喜剧/爱情/音乐,英国
1292458,折箭为盟 Broken Arrow,1950,6.7,72,剧情/爱情/西部,美国
1292459,赖婚 Way Down East,1920,7.9,322,剧情/爱情,美国
1292461,性感尤物 The Sex Monster,1999,4.5,499,喜剧,美国
1292462,金童子 The Golden Child,1986,5.7,71,喜剧/动作/悬疑/奇幻/冒险,美国
1292464,恋爱中的女人 Women in Love,1969,7.4,465,剧情/爱情,英国
1292465,愤怒的葡萄 The Grapes of Wrath,1940,8.4,5597,剧情,美国
1292466,往日情怀 The Way We Were,1973,8.2,3736,剧情/爱情,美国
1292467,地下铁 Subway,1985,7.9,6158,剧情/喜剧/爱情/惊悚/犯罪,法国
1292468,破浪 Breaking the Waves,1996,8.1,10532,剧情/爱情,丹麦/瑞典/法国/荷兰/挪威/冰岛/西班牙
1292470,为了正义 Out for Justice,1991,5.9,163,剧情/动作/惊悚/犯罪,美国
1292471,亡命者 I Am a Fugitive from a Chain Gang,1932,8.3,498,剧情/犯罪/黑色电影,美国
1292472,巴里·林登 Barry Lyndon,1975,8.8,14003,剧情/爱情/战争,英国/美国/爱尔兰
1292474,乌鸦 The Crow,1994,7.4,7935,动作/惊悚/犯罪/奇幻,美国
1292476,十全十美 10,1979,6.7,317,喜剧/爱情,美国
1292477,蝙蝠侠大战幻影人 Batman: Mask of the Phantasm,1993,7.7,899,动作/爱情/动画/悬疑/惊悚/家庭/犯罪,美国
1292479,疯狂大赛车 The Great Race,1965,6.9,80,喜剧/动作/爱情/歌舞/家庭/冒险/运动,美国
1292482,重载武器 Loaded Weapon 1,1993,7.2,708,喜剧/动作/犯罪,美国
1292483,大团圆 The Happy Ending,1969,7.7,74,剧情,美国
1292484,碟中谍 Mission: Impossible,1996,8,163291,动作/惊悚/冒险,美国
1292485,男情难了 Lilies - Les feluettes,1996,8.2,2007,剧情/爱情/同性/奇幻,加拿大
1292487,委托人 The Client,1994,7.6,2091,剧情/悬疑/惊悚,美国
1292489,龙桥 Bridge of Dragons,1999,5.3,80,动作/爱情/科幻/战争,美国
1292490,必需品 Needful Things,1993,6.6,352,剧情/惊悚/恐怖/犯罪,美国
1292491,超级明星 Superstar,1999,5.1,84,喜剧,美国
1292493,王牌大贱谍 Austin Powers: International Man of Mystery,1997,6.3,5861,喜剧/动作/犯罪/冒险,美国/德国
1292494,绘图师的合约 The Draughtsman's Contract,1982,7.3,608,剧情/悬疑,英国
1292495,龙威小子 The Karate Kid,1984,6.9,681,剧情/家庭/运动,美国
1292497,野蛮人柯南 Conan the Barbarian,1982,6.6,1689,动作/奇幻/冒险,美国
1292499,毒药 Poison,1991,7.3,682,剧情/科幻/恐怖/同性,美国
1292500,跷家的一夜 Adventures in Babysitting,1987,7.8,113,喜剧/动作/惊悚/冒险,美国
1292501,鬼玩人 The Evil Dead,1981,7.1,8167,恐怖,美国
1292502,今生今世 Elvira Madigan,1967,7.6,322,剧情/爱情/历史,瑞典
1292503,黑猫II：刺杀叶利钦 黑貓II 刺殺葉利欽,1992,5.8,302,剧情/动作/惊悚,香港
1292504,柏林苍穹下 Der Himmel über Berlin,1987,8.5,24484,剧情/爱情/奇幻,西德/法国
1292505,天袭 The Arrival,1996,6.4,1386,动作/科幻/悬疑/惊悚,美国/墨西哥
1292506,赌神2 賭神2,1994,7.6,49000,喜剧/动作,香港
1292507,苍白骑士 Pale Rider,1985,7.3,1398,动作/西部,美国
1292509,珍妮的画像 Portrait of Jennie,1948,8.1,779,剧情/爱情/悬疑/奇幻,美国
1292510,潇洒有情天 Boys on the Side,1995,8.1,497,剧情/喜剧,美国/法国
1292511,收播新闻 Broadcast News,1987,7.5,499,剧情/喜剧/爱情,美国
1292515,用心棒,1961,8.8,17996,剧情/动作/惊悚/犯罪,日本
1292516,碧血金沙 The Treasure of the Sierra Madre,1948,8.6,4674,剧情/动作/西部/冒险,美国
1292518,挑战星期天 Any Given Sunday,1999,7.9,3993,剧情/运动,美国
1292519,禁忌星球 Forbidden Planet,1956,7.7,1363,科幻/悬疑,美国
1292521,码头风云 On the Waterfront,1954,7.9,8810,剧情/爱情/犯罪,美国
1292523,侏罗纪公园 Jurassic Park,1993,8.1,196451,科幻/惊悚/冒险,美国
1292527,雷霆之心 Thunderheart,1992,7.1,58,悬疑/惊悚/犯罪/西部,美国
1292528,猜火车 Trainspotting,1996,8.5,289385,剧情/犯罪,英国
1292529,机器管家 Bicentennial Man,1999,8.5,57727,剧情/喜剧/科幻,美国/德国
1292530,K.O.雷霆一击 Knock Off,1998,5.8,342,动作/惊悚,香港/美国/阿鲁巴岛
1292531,华尔街 Wall Street,1987,8.2,39314,剧情/犯罪,美国
1292532,铁面无私 The Untouchables,1987,7.7,10485,剧情/惊悚/历史/犯罪,美国
1292533,狂人皮埃罗 Pierrot le fou,1965,8.3,11313,剧情/喜剧/爱情/歌舞/犯罪,法国/意大利
1292534,十三号星期五：终结篇 Friday the 13th: The Final Chapter,1984,6.2,768,恐怖,美国
1292535,修女传 The Nun's Story,1959,7.9,2381,剧情,美国
1292536,罪与错 Crimes and Misdemeanors,1989,8,2990,剧情/喜剧,美国
1292537,璇宫艳史 The Love Parade,1929,7.3,264,喜剧/爱情/歌舞,美国
1292538,飞离航道 Air America,1990,6.5,328,喜剧/动作,美国
1292539,最后命令 The Last Command,1928,8.5,321,剧情/冒险,美国
1292540,我有话要说 Pump Up the Volume,1990,8.3,161,剧情/音乐,加拿大/美国
1292541,光猪六壮士 The Full Monty,1997,7.8,19294,喜剧/音乐,英国
1292542,好胆别走 The Big Hit,1998,6.5,825,喜剧/动作/犯罪,美国
1292543,谍舰 Morituri,1965,7.4,56,剧情/战争,美国
1292544,博览会 State Fair,1945,7.5,81,爱情/歌舞,美国
1292547,卡里加里博士的小屋 Das Cabinet des Dr. Caligari,1920,8.7,9596,悬疑/恐怖/犯罪,德国
1292549,呆子 The Saphead,1920,6.3,115,喜剧,美国
1292550,埃及艳后 Cleopatra,1963,7.7,30668,剧情/传记/历史,英国/美国/瑞士
1292552,玩尽杀绝 Wild Things,1998,7,10303,悬疑/惊悚/犯罪,美国
1292553,真实的谎言 True Lies,1994,8.1,110785,喜剧/动作/惊悚,美国
1292555,逃出亚卡拉 Escape from Alcatraz,1979,7.8,2228,剧情/动作/惊悚/犯罪,美国
1292556,鬼入侵 The Haunting,1999,6.2,2258,悬疑/惊悚/恐怖,美国
1292557,远大前程 Great Expectations,1998,7.6,8218,剧情/爱情,美国
1292558,豺狼陷阱 The Assignment,1997,7.4,322,动作/惊悚/犯罪,加拿大
1292559,第四十二街 42nd Street,1933,7.5,584,剧情/爱情/歌舞,美国
1292561,卿何遵命 All This  and Heaven Too,1940,7,55,剧情/爱情,美国
1292563,转折点 The Turning Point,1977,7.8,164,剧情/爱情,美国
1292565,红河 Red River,1948,8.2,1851,动作/西部/冒险,美国
1292566,俄国人来了！俄国人来了！ The Russians Are Coming! The Russians Are Coming!,1966,7.3,79,喜剧/战争,美国
1292567,太空英雌芭芭丽娜 Barbarella,1968,6.9,1432,喜剧/科幻/奇幻/冒险,法国/意大利
1292569,迷幻人生 Light Sleeper,1992,7.7,78,剧情/犯罪,美国
1292571,1776,1972,8.9,146,剧情/歌舞/家庭/历史,美国
1292572,蓝霹雳 Blue Thunder,1983,6.6,306,剧情/动作/惊悚/犯罪,美国
1292573,007之黎明生机 The Living Daylights,1987,7.1,5218,动作/惊悚/冒险,英国/美国
1292574,热情如火 Some Like It Hot,1959,8.8,27565,喜剧,美国
1292575,苦难 Affliction,1997,6.7,75,剧情/悬疑/惊悚,美国
1292577,安娜·卡列尼娜 Anna Karenina,1997,7.4,25818,剧情/爱情,美国
1292579,追梦者 The Commitments,1991,8.2,434,剧情/喜剧/音乐,爱尔兰/英国/美国
1292580,终结暴力 The End of Violence,1997,6.5,164,剧情/惊悚,法国/德国/美国
1292581,人望低处 Keep the Aspidistra Flying,1997,7.6,48,剧情/喜剧/爱情,英国
1292583,越战毛发 Hair,1979,7.8,351,剧情/喜剧/歌舞,美国/西德
1292584,上海小姐 The Lady from Shanghai,1947,8,4231,剧情/悬疑/犯罪/黑色电影,美国
1292585,边缘日记 The Basketball Diaries,1995,8.1,20375,剧情/传记/犯罪/运动,美国
1292586,再见，孩子们 Au revoir les enfants,1987,8.6,8759,剧情/战争,法国/意大利/西德
1292587,蛇与彩虹 The Serpent and the Rainbow,1988,6.3,169,恐怖,美国
1292588,无人生还 And Then There Were None,1945,7.8,3784,剧情/悬疑/惊悚/犯罪,美国
1292589,纽伦堡的审判 Judgment at Nuremberg,1961,9,4051,剧情/历史,美国
1292590,天崩地裂 Dante's Peak,1997,6.8,6064,动作/冒险/灾难,美国
1292591,汤姆·琼斯 Tom Jones,1963,6.6,1004,喜剧/爱情/冒险,英国
1292592,双面女蝎星 Point of No Return,1993,6.4,652,剧情/动作/爱情/惊悚/犯罪,美国
1292593,三骑士 The Three Caballeros,1944,8,705,动画/音乐/家庭/奇幻,美国
1292596,乐自芳邻来 Music From Another Room,1998,6.8,2116,剧情/喜剧/爱情,美国
